BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
1.400000	-1.857787	-0.381914	566.533783	566.536958
1.405000	-2.285425	-0.305302	566.705429	566.710120
1.410000	-1.779655	-0.034470	568.415962	568.418749
1.415000	-2.051924	-0.072983	567.559654	567.563368
1.420000	-2.247252	-0.034057	567.218147	567.222600
1.425000	-2.246955	0.042558	568.244980	568.249424
1.430000	-2.286020	-0.189347	568.415710	568.420339
1.435000	-2.130353	-0.034470	568.842270	568.846260
1.440000	-2.557693	-0.344640	567.474419	567.480287
1.445000	-2.051924	-0.034470	569.614288	569.617985
1.450000	-1.896555	0.119997	569.699478	569.702648
1.455000	-2.674890	-0.653573	565.507072	565.513776
1.460000	-2.285425	-0.498693	567.046791	567.051616
1.465000	-2.479859	-0.653573	566.533554	566.539359
1.470000	-2.558586	-0.885479	565.421425	565.427907
1.475000	-2.635228	-0.963331	566.363304	566.370254
1.480000	-1.429256	0.003220	571.327873	571.329661
1.485000	-2.791193	-1.001844	564.908989	564.916773
1.490000	-2.596759	-0.924404	565.508781	565.515499
1.495000	-1.857787	-0.034470	569.529999	569.533030
1.500000	-2.597354	-0.885479	566.279221	566.285869
1.505000	-2.364152	-0.731425	566.194260	566.199668
1.510000	-2.013156	0.042558	569.617706	569.621265
1.515000	-1.468620	0.469093	571.158485	571.160566
1.520000	-1.624584	0.199087	570.216820	570.219169
1.525000	-2.519818	-0.420841	567.051598	567.057352
1.530000	-2.675486	-0.305302	566.280800	566.287203
1.535000	-2.753021	-0.266788	566.367332	566.374086
1.540000	-2.325978	0.236775	568.591911	568.596718
1.545000	-1.935918	0.739925	570.987862	570.991623
1.550000	-1.896852	1.049272	571.074585	571.078699
1.555000	-2.286615	0.623561	568.762413	568.767351
1.560000	-2.481348	0.197849	567.652199	567.657657
1.565000	-2.364152	0.392067	568.078156	568.083210
1.570000	-2.247848	0.392067	568.166504	568.171086
1.575000	-2.209080	0.315041	567.908623	567.913007
1.580000	-2.714253	0.043383	565.939911	565.946421
1.585000	-2.013453	0.469506	568.335663	568.339423
1.590000	-2.753021	0.275289	566.111038	566.117799
1.595000	-2.753616	0.313802	566.881836	566.888611
1.600000	-2.519818	0.276114	567.567261	567.572921
1.605000	-2.557693	0.353554	567.824905	567.830776
1.610000	-2.753319	0.004869	566.025597	566.032293
1.615000	-2.130651	0.546946	569.707886	569.712132
1.620000	-2.597651	0.044209	566.797882	566.803836
1.625000	-2.792087	-0.033231	565.599846	565.606738
1.630000	-2.714551	0.004869	566.455177	566.461682
1.635000	-3.259385	-0.459355	564.315468	564.325068
1.640000	-2.519223	0.392067	567.911362	567.917085
1.645000	-2.636419	0.430580	566.797661	566.803956
1.650000	-2.402621	0.663312	568.593857	568.599320
1.655000	-2.013453	0.934143	570.306007	570.310327
1.660000	-2.325383	0.701000	568.593857	568.599044
1.665000	-2.869325	0.430580	567.054192	567.061614
1.670000	-1.935918	1.048446	570.391724	570.395972
1.675000	-2.713955	0.777614	568.423088	568.430099
1.680000	-2.713955	0.701000	567.739716	567.746635
1.685000	-2.480157	1.049272	569.449905	569.456273
1.690000	-2.090989	1.320929	570.649292	570.654652
1.695000	-2.675187	0.740338	567.567352	567.574140
1.700000	-2.207294	0.973069	569.793709	569.798815
1.705000	-1.935918	1.321754	570.563858	570.568673
1.710000	-2.090989	1.437294	571.249550	571.255185
1.715000	-2.247252	1.206213	568.852570	568.858287
1.720000	-3.064652	0.741988	566.199898	566.208678
1.725000	-2.753021	1.012408	567.568520	567.576099
1.730000	-2.674890	1.204976	568.853043	568.860608
1.735000	-2.247549	1.437707	570.394081	570.400321
1.740000	-2.558884	1.166050	567.483368	567.490335
1.745000	-1.935918	1.824080	571.249069	571.255262
1.750000	-2.870813	1.166050	567.140327	567.148792
1.755000	-2.286317	1.669201	569.024353	569.031394
1.760000	-1.898044	2.095736	571.334274	571.341271
1.765000	-2.209080	1.746227	569.451210	569.458172
1.770000	-2.053115	2.018297	569.622276	569.629552
1.775000	-2.014645	1.825729	569.708717	569.715205
1.780000	-3.220319	1.167700	565.344048	565.354425
1.785000	-3.026480	1.360268	565.772797	565.782527
1.790000	-3.142783	1.321754	566.372025	566.382286
1.795000	-3.220319	1.127124	565.772797	565.783084
1.800000	-3.376284	1.128361	565.001991	565.013206
1.805000	-2.286317	1.786803	569.624481	569.631872
1.810000	-2.714849	1.477046	566.800453	566.808879
1.815000	-3.181551	0.857943	564.831070	564.840682
1.820000	-2.831450	1.051334	565.431145	565.439211
1.825000	-2.870217	1.090673	565.087418	565.095759
1.830000	-3.065546	0.896043	564.061089	564.070130
1.835000	-2.792682	1.129187	565.516335	565.524357
1.840000	-2.286615	1.476220	567.826279	567.832802
1.845000	-2.715146	1.322991	566.027634	566.035692
1.850000	-3.220617	1.012408	564.144943	564.155045
1.855000	-2.092180	1.940858	569.708054	569.715201
1.860000	-2.948349	1.554072	566.369484	566.379290
1.865000	-2.831450	1.746227	566.969086	566.978845
