"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.250291994E0,-1.263410330E0,9.688538551E0,8.470591903E-1
5.266958660E0,-1.268794179E0,9.674779892E0,8.949156404E-1
5.283625326E0,-1.321436286E0,9.593423843E0,9.134600163E-1
5.300291992E0,-1.274178028E0,9.713065147E0,9.517452121E-1
5.316958658E0,-1.239482164E0,9.679565430E0,8.566305041E-1
5.333625324E0,-1.201795220E0,9.613164902E0,9.475577474E-1
5.350291990E0,-1.292722464E0,9.703494072E0,8.943174481E-1
5.366958656E0,-1.345364571E0,9.702896118E0,8.703892231E-1
5.383625322E0,-1.407577872E0,9.707083702E0,7.740781307E-1
5.400291988E0,-1.454836130E0,9.625727654E0,7.208378315E-1
5.416958654E0,-1.402792215E0,9.540184021E0,8.985049129E-1
5.433625320E0,-1.374078393E0,9.616754532E0,8.793623447E-1
5.450291986E0,-1.335793257E0,9.659825325E0,8.608179688E-1
5.466958652E0,-1.339980721E0,9.616754532E0,8.129615188E-1
5.483625318E0,-1.368694544E0,9.616754532E0,7.597211599E-1
5.500291984E0,-1.223928809E0,9.755537987E0,6.705885530E-1
5.516958650E0,-1.238285661E0,9.807581902E0,5.988038778E-1
5.533625316E0,-1.171286702E0,9.803394318E0,6.562315822E-1
5.550291982E0,-1.003190875E0,9.789635658E0,7.106683254E-1
5.566958648E0,-9.409775138E-1,9.771091461E0,7.680960894E-1
5.583625314E0,-8.261220455E-1,9.738189697E0,8.267202377E-1
5.600291980E0,-7.058826685E-1,9.652647018E0,8.518448472E-1
5.616958646E0,-6.526423693E-1,9.604789734E0,8.709874153E-1
5.633625312E0,-6.293123364E-1,9.643673897E0,9.625129104E-1
5.650291978E0,-7.555337548E-1,9.762716293E0,1.037886858E0
5.666958644E0,-9.134600163E-1,9.714262009E0,9.403793216E-1
5.683625310E0,-1.018744230E0,9.708877563E0,8.967102766E-1
5.700291976E0,-1.051645517E0,9.708279610E0,7.962117195E-1
5.716958642E0,-1.138385415E0,9.727422714E0,8.141579032E-1
5.733625308E0,-1.321436286E0,9.731609344E0,8.273184299E-1
5.750291974E0,-1.465005636E0,9.625727654E0,8.261220455E-1
5.766958640E0,-1.527219057E0,9.496515274E0,8.207381964E-1
5.783625306E0,-1.575075507E0,9.568299294E0,7.489534616E-1
5.800291972E0,-1.599003673E0,9.625128746E0,7.100701332E-1
5.816958638E0,-1.700100541E0,9.653244972E0,6.855437160E-1
5.833625304E0,-1.780858278E0,9.619745255E0,5.988038778E-1
5.850291970E0,-1.747358680E0,9.605388641E0,5.940182209E-1
5.866958636E0,-1.679761529E0,9.648459435E0,5.706881881E-1
5.883625302E0,-1.646261930E0,9.696315765E0,5.617151260E-1
5.900291968E0,-1.670788407E0,9.748957634E0,5.946164131E-1
5.916958634E0,-1.680957913E0,9.662816048E0,6.664010882E-1
5.933625300E0,-1.642074585E0,9.586843491E0,6.717849374E-1
5.950291966E0,-1.589432478E0,9.582057953E0,6.765705943E-1
5.966958632E0,-1.521835208E0,9.634700775E0,6.442674994E-1
5.983625298E0,-1.483550072E0,9.720842361E0,6.634100676E-1
6.000291964E0,-1.374078393E0,9.778867722E0,7.501499057E-1
6.016958630E0,-1.329811215E0,9.602396965E0,7.028916478E-1
6.033625296E0,-1.306481123E0,9.526425362E0,8.560323119E-1
6.050291962E0,-1.240080357E0,9.693922997E0,8.949156404E-1
6.066958628E0,-1.191625714E0,9.746564865E0,8.715856671E-1
6.083625294E0,-1.147956610E0,9.750752449E0,7.806583643E-1
6.100291960E0,-1.171884894E0,9.631709099E0,8.045865893E-1
6.116958626E0,-1.249053478E0,9.631111145E0,7.992027402E-1
6.133625292E0,-1.354337573E0,9.669396400E0,7.932206988E-1
6.150291958E0,-1.374078393E0,9.697511673E0,7.740781307E-1
6.166958624E0,-1.412363529E0,9.745368004E0,7.405785918E-1
6.183625290E0,-1.454836130E0,9.754940033E0,6.825526357E-1
6.200291956E0,-1.497906923E0,9.735198975E0,6.825526357E-1
6.216958622E0,-1.646860242E0,9.591629982E0,6.861419082E-1
6.233625288E0,-1.719841242E0,9.505488396E0,7.950153351E-1
6.250291954E0,-1.704886079E0,9.481559753E0,7.764709592E-1
6.266958620E0,-1.632503271E0,9.529416084E0,7.148557901E-1
6.283625286E0,-1.493121386E0,9.696913719E0,6.442674994E-1
6.300291952E0,-1.459023595E0,9.759127617E0,5.916253924E-1
6.316958618E0,-1.474576950E0,9.763913155E0,7.016952634E-1
6.333625284E0,-1.479362607E0,9.711869240E0,7.208378315E-1
6.350291950E0,-1.430309772E0,9.534799576E0,6.927221417E-1
6.366958616E0,-1.320239902E0,9.549755096E0,7.172485590E-1
6.383625282E0,-1.329811215E0,9.678369522E0,7.028916478E-1
6.400291948E0,-1.402194023E0,9.826126099E0,6.544370055E-1
6.416958614E0,-1.392622828E0,9.826724052E0,6.927221417E-1
6.433625280E0,-1.339382529E0,9.607182503E0,7.172485590E-1
6.450291946E0,-1.214357495E0,9.488140106E0,7.375875711E-1
6.466958612E0,-1.186241865E0,9.665208817E0,7.902296782E-1
6.483625278E0,-1.329811215E0,9.716654778E0,7.076773047E-1
6.500291944E0,-1.416550994E0,9.721440315E0,7.357929349E-1
6.516958610E0,-1.459621787E0,9.759127617E0,6.394818425E-1
